metric,metric_label,error_rate,error_pct,mean_stability,p10_stability,p90_stability
sorensen_pa_cor,Sørensen,0.04,4,0.9707129226930634,0.963427825324336,0.9779060003535287
sorensen_pa_cor,Sørensen,0.05,5,0.9677666035729902,0.9586273234964442,0.9765391882567419
sorensen_pa_cor,Sørensen,0.060000000000000005,6,0.9594760857459151,0.9509124095110074,0.9688602121225895
sorensen_pa_cor,Sørensen,0.06999999999999999,7,0.956926080550446,0.9428199461457794,0.9632858240665039
sorensen_pa_cor,Sørensen,0.08,8,0.9514481060700801,0.9452434566504182,0.9561744575769006
sorensen_pa_cor,Sørensen,0.09,9,0.9477864628652969,0.9382494055314542,0.9564380857804473
sorensen_pa_cor,Sørensen,0.09999999999999999,10,0.9513579052338331,0.9417656205967668,0.9610541953692877
sorensen_pa_cor,Sørensen,0.11,11,0.9410978538713262,0.9292780747852482,0.9558935815127282
sorensen_pa_cor,Sørensen,0.12,12,0.9355193834895342,0.9275116519892997,0.9412695726038461
sorensen_pa_cor,Sørensen,0.13,13,0.9360833145729647,0.9294196951442574,0.9444339504616973
sorensen_pa_cor,Sørensen,0.14,14,0.9251299994477054,0.9165013365443143,0.935268665291042
sorensen_pa_cor,Sørensen,0.15000000000000002,15,0.9298603271931524,0.9173820787670354,0.9408641523028147
sorensen_pa_cor,Sørensen,0.16,16,0.9250043295196446,0.9190109340093424,0.9336597130970568
sorensen_pa_cor,Sørensen,0.17,17,0.9227129904098859,0.9084857400041384,0.9387929864753126
sorensen_pa_cor,Sørensen,0.18000000000000002,18,0.9172068825869727,0.9049489333706499,0.9298140793198999
sorensen_pa_cor,Sørensen,0.19,19,0.9207193859214766,0.9060254503268972,0.9331426176055486
sorensen_pa_cor,Sørensen,0.2,20,0.912804635600633,0.8968038784590541,0.9270173513023029
