pays;region;dpt;num_dpt;CD_INSEE;city;lieu-dit;project_yr;lon;lat;alt;date;date_fin;habitat;habitat_complet;
France;GRAND-EST;HAUTES-PYRENEES;65;65192;Gedre;Gave d'Aspé;RMQS_2025;42.77355489; -0.013660068;1575;07/07/2025;04/08/2025;grassland;Prairie de pâture;
France;HAUT-DE-FRANCE;PAS-DE-CALAIS;62;62734;Sailly-en-Ostrevent;;RMQS_2025;50.28536452;2.994858636;40;06/05/2025;04/06/2025;grassland;Prairie permanente;
France;NORMANDIE;EURE;27;27477;Pressagny-l'Orgueilleux;;RMQS_2025;49.13732052;1.45211861;40;16/04/2025;15/05/2025;grassland;Prairie de fauche;
France;NORMANDIE;MANCHE;50;50425;Rauville-la-Bigot;Ham. Les Michel;RMQS_2025;49.50375474; -1.651488949;131;16/04/2025;07/05/2025;grassland;Prairie de pâture;
France;NORMANDIE;ORNE;61;61486;Tinchebray-Bocage;;RMQS_2025;48.66785149; -0.71855261;200;17/03/2025;14/04/2025;grassland;Prairie permanente;
France;NOUVELLE-AQUITAINE;CHARENTE;16;16318;Saint-Front;;RMQS_2024;44.9465981199809;4.14437731617619;1305;13/06/2024;11/07/2024;grassland;Prairie de fauche;
France;NOUVELLE-AQUITAINE;CORREZE;19;19075;Espagnac;;RMQS_2025;45.25098014;1.916889536;550;07/04/2025;06/05/2025;grassland;Prairie permanente;
France;NOUVELLE-AQUITAINE;CREUSE;23;23101;Jouillat;;RMQS_2025;46.25880373;1.908024687;353;26/03/2025;25/04/2025;grassland;Prairie permanente;
France;NOUVELLE-AQUITAINE;CREUSE;23;23178;Saint-Agnant-pres-Crocq;;RMQS_2025;45.82771549;2.323432828;697;05/05/2025;03/06/2025;grassland;Prairie de fauche;
France;NOUVELLE-AQUITAINE;DORDOGNE;24;24039;Besse;;RMQS_2025;44.670287;1.111486004;246;11/03/2025;07/04/2025;grassland;Prairie permanente;
France;NOUVELLE-AQUITAINE;DORDOGNE;24;24115;Chateau-l'Eveque;Coullarède;RMQS_2025;45.240327;0.693751999;173;12/03/2025;07/04/2025;grassland;Prairie permanente;
France;NOUVELLE-AQUITAINE;GIRONDE;33;33314;Pauillac;Chenal du Gaet;RMQS_2025;45.204736; -0.756250999;2;10/04/2025;06/05/2025;grassland;Prairie de pâture;
France;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;44;44007;Avessac;Gaumain;RMQS_2025;47.62119986;-1.93936389;58;28/03/2025;24/04/2025;grassland;Prairie permanente;
France;PROVENCE-ALPES-COTE-D'AZUR;ALPES-MARITIMES;6;6081;Le-Mas;;RMQS_2024;43.8563416618755;6.90327394449335;757;25/04/2024;28/05/2024;grassland;Prairie;
France;AUVERGNE-RHONE-ALPES;ISERE;38;38298;LE-PEAGE-DE-ROUSILLON;NA;RMQS_2024;45.3690149100078;4.77475157668675;138;10/04/2024;07/05/2024;orchard;Verger;
France;PROVENCE-ALPES-COTE-D'AZUR;VAR;83;83071;Londe-les-Maures;Domaine de Tamary;RMQS_2025;43.16832932;6.249752146;55;19/03/2025;16/04/2025;orchard;Oliveraie;
France;GRAND-EST;BAS-RHIN;67;67084;Dambach-la-Ville;Weybach;RMQS_2025;48.31916781;7.419770182;266;14/05/2025;16/06/2025;vineyard;Vigne;
France;OCCITANIE;HERAULT;34;34032;Beziers;;RMQS_2025;43.37940364;3.306473486;36;18/03/2025;15/04/2025;vineyard;Vignes;
France;PAYS DE LA LOIRE;MAINE-ET-LOIRE;49;49244;La-Pommeraye;Mauges-sur-Loire;RMQS_2025;47.3670454; -0.853735663;72;04/03/2025;03/04/2025;vineyard;Vigne;
France;FRANCHE-COMTE;DOUBS;25;25160;LES-COMBES;;RMQS_2024;47.0487852584465;6.53783195380408;885;15/05/2024;15/05/2024;cropland;Culture;
France;AQUITAINE;PYRENEES-ATLANTIQUES;64;64335;Lescar;;RMQS_2024;43.346012905165;-0.43419743028047;187;17/04/2024;17/04/2024;cropland;Culture;
France;CHAMPAGNE-ARDENNE;ARDENNES;08;8015;ANTHENY;;RMQS_2025;49.8399828;4.3229863;2556;19/05/2025;19/05/2025;grassland;Prairie pâturée (bovins);
France;BASSE-NORMANDIE;ORNE;61;61486;BEAUCHENE;;RMQS_2025;48.66785149; -0.71855261;200;14/04/2025;14/04/2025;grassland;Prairie de pâture (bovins);
France;HAUTE-NORMANDIE;SEINE-MARITIME;76;76289;Betteville;Betteville;RMQS_2025;49.55861101;0.775831982;97;15/04/2025;15/05/2025;woodland;Hêtraie;
France;ILE-DE-FRANCE;SEINE-ET-MARNE;77;77197;Fretoy;;RMQS_2025;48.7033888;3.19219;139;24/06/2025;24/06/2025;cropland;Monoculture (blé);
France;AQUITAINE;PYRENEES-ATLANTIQUES;64;64394;Montpezat;;RMQS_2025;43.49944405; -0.046389635;258;27/03/2025;24/04/2025;woodland;Chataîgneraie;
France;BRETAGNE;MORBIHAN;56;56144;Naizin;;RMQS_2025;48.01701723; -2.826330827;110;19/05/2025;19/05/2025;cropland;Monoculture (blé);
France;PAYS DE LA LOIRE;MAINE-ET-LOIRE;49;49244;POMMERAYE;Mauges-sur-Loire;RMQS_2025;47.3670454; -0.853735663;72;03/04/2025;03/04/2025;vineyard;Vigne;
France;PROVENCE-ALPES-COTE DAZUR;HAUTES-ALPES;05;5114;Reallon;Fort de Réallon;RMQS_2025;44.59971107;6.348703354;1448;04/07/2025;04/07/2025;grassland;Prairie de fauche;
