scenario_family,scenario,baseline_scenario,unit_type,iter,coverage_estimator,mean,p10,median,p90
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,29,coverage_turing,0.8080060549002108,0.6,0.8804761904761904,0.986829501915709
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,29,coverage_zhanghuang,0.8350393135286894,0.6828673245614034,0.9057744360902256,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,30,coverage_chao,0.8296754215947941,0.633911943319838,0.9111255411255411,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,30,coverage_turing,0.8050203281577145,0.6,0.8904761904761904,0.9802442528735632
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,30,coverage_zhanghuang,0.8312982340923782,0.6377922077922078,0.9155425586170496,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,31,coverage_chao,0.8210435749247549,0.6238157894736842,0.8959073204261656,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,31,coverage_turing,0.7966480334022754,0.5,0.8878446115288221,0.9802442528735632
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,31,coverage_zhanghuang,0.8213632482569886,0.625,0.8959073204261656,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,32,coverage_chao,0.8359053224005066,0.6238157894736842,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,32,coverage_turing,0.8091580911635143,0.5700000000000001,0.8804761904761904,0.9886931534232883
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,32,coverage_zhanghuang,0.8375502744029641,0.6263888888888889,0.9138528138528139,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,33,coverage_chao,0.8357461075218939,0.6721153846153847,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,33,coverage_turing,0.8104838884188428,0.6,0.8848684210526316,0.9796978629329403
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,33,coverage_zhanghuang,0.8373258026027491,0.6797619047619048,0.9073934837092732,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,34,coverage_chao,0.8266514662061498,0.6764423076923076,0.8883867165479424,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,34,coverage_turing,0.8023081198653077,0.6,0.864367816091954,0.9830397301349325
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,34,coverage_zhanghuang,0.8279800232797767,0.6843939393939393,0.8882977977960479,1
