DEPARTEMENT;CD_DEPT;NOM_LOCALITE;LIEU-DIT;ALTITUDE;HABITAT;REMARQUE_STATION;FAMILLE;LB_NOM;NOM_VALIDE;CD_COLLECTION;NOM_CITE;male;femelle;ABONDANCE_TOTALE;remarque;A VERIFIER/PHOTO;DETERMINATEUR;MASSE;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Calathus fuscipes;Calathus fuscipes (Goeze, 1777);LABR-90;Calathus fuscipes;1;;1;oui;;L.ABRAHAM;84;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Carabus problematicus;Carabus problematicus Herbst, 1786;LABR-91;Carabus problematicus;1;;1;oui;;L.ABRAHAM;653;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-92;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;98;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-93;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;110;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-94;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;141;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-95;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;103;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-96;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;34;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Notiophilus rufipes;Notiophilus rufipes Curtis, 1829;LABR-97;Notiophilus rufipes;1;;1;oui;;L.ABRAHAM;5.6;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Amara aenea;Amara aenea (De Geer, 1774);LABR-98;Amara aenea;1;;1;oui;;L.ABRAHAM;25;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Amara aenea;Amara aenea (De Geer, 1774);LABR-99;Amara aenea;1;;1;oui;;L.ABRAHAM;28;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Amara aenea;Amara aenea (De Geer, 1774);LABR-100;Amara aenea;1;;1;oui;;L.ABRAHAM;18.2;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Amara aenea;Amara aenea (De Geer, 1774);LABR-101;Amara aenea;;1;1;oui;;L.ABRAHAM;14.3;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Nebria brevicollis;Nebria brevicollis (Fabricius, 1792);LABR-102;Nebria brevicollis;;1;1;oui;;L.ABRAHAM;54;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Amara similata;Amara similata (Gyllenhal, 1810);LABR-103;Amara similata;;1;1;oui;;L.ABRAHAM;40;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus affinis;Harpalus affinis (Schrank, 1781);LABR-104;Harpalus affinis;1;;1;oui;;L.ABRAHAM;43;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus affinis;Harpalus affinis (Schrank, 1781);LABR-105;Harpalus affinis;1;;1;oui;;L.ABRAHAM;31;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus affinis;Harpalus affinis (Schrank, 1781);LABR-106;Harpalus affinis;1;;1;oui;;L.ABRAHAM;37;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-107;Harpalus distinguendus;;1;1;oui;;L.ABRAHAM;43;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-108;Harpalus distinguendus;;1;1;oui;;L.ABRAHAM;31;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-109;Harpalus distinguendus;;1;1;oui;;L.ABRAHAM;37;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-110;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;52;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-111;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;39;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-112;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;37;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-113;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;40;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-114;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;31;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-115;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;39;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-116;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;27;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-117;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;32;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-118;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;32;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-119;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;29;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-120;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;44;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-121;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;51;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-122;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;24;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-123;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;35;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-124;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;38;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Harpalus distinguendus;Harpalus distinguendus (Duftschmid, 1812);LABR-125;Harpalus distinguendus;1;;1;oui;;L.ABRAHAM;39;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Notiophilus substriatus;Notiophilus substriatus G.R. Waterhouse, 1833;LABR-126;Notiophilus substriatus;;1;1;oui;;L.ABRAHAM;4.2;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Notiophilus substriatus;Notiophilus substriatus G.R. Waterhouse, 1833;LABR-127;Notiophilus substriatus;;1;1;oui;;L.ABRAHAM;3.8;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Anchomenus dorsalis;Anchomenus dorsalis (Pontoppidan, 1763);LABR-128;Anchomenus dorsalis;1;;1;oui;;L.ABRAHAM;6.8;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Bembidion properans;Bembidion properans (Stephens, 1828);LABR-129;Bembidion properans;;;1;oui;;L.ABRAHAM;2.2;
ISERE;38;Le Peage-De-Roussillon;;138;ferme;;Carabidae;Brachinus explodens;Brachinus explodens Duftschmid, 1812;LABR-130;Brachinus explodens;;1;1;oui;;L.ABRAHAM;7.2;
