scenario_family,scenario,baseline_scenario,unit_type,iter,inference,stability,inference_label
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,q0_cor,0.9780257626165689,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,q1_cor,0.9632853581906746,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,q2_cor,0.9546102780839886,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,coverage_chao_cor,0.9925295271288407,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,bray_curtis_cor,0.9961262369308308,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,jaccard_pa_cor,0.9880313962591859,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,sorensen_pa_cor,0.9900509640647908,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,procrustes_r2,0.9951814660226193,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,q0_cor,0.9768749855052854,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,q1_cor,0.9710136833881119,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,q2_cor,0.9747961752193226,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,coverage_chao_cor,0.9964598048359788,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,bray_curtis_cor,0.9970564868807824,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,jaccard_pa_cor,0.98351388529966,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,sorensen_pa_cor,0.9860776413316555,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,2,procrustes_r2,0.9971361873958375,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,q0_cor,0.9820293504406843,q0 richness / number of units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,q1_cor,0.9731274638582043,Hill q1 / effective units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,q2_cor,0.9682369399394037,Hill q2 / dominant units
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,coverage_chao_cor,0.9962051344968109,sample coverage Chao
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,bray_curtis_cor,0.99711934528524,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,3,jaccard_pa_cor,0.9867071311627957,Jaccard presence-absence distance
