scenario_family,scenario,baseline_scenario,iter,term,df,sumsq,r2,f,p,n_units,n_taxa,model
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,4,mos,1,0.5815861159296958,0.022082633666418994,1.4520234966642724,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,4,p_h,1,0.46213495898583545,0.017547112498406698,1.1537944264792759,0.34,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,5,t360_mean,1,0.34840098442295897,0.013185494702951986,0.8677308978562026,0.61,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,5,mos,1,0.5728137479128321,0.021678562853064673,1.426655520517593,0.09,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,5,p_h,1,0.47331629495667826,0.017913007652112928,1.178846191473805,0.26,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,6,t360_mean,1,0.3277947458643595,0.012512469916467405,0.8216620720302926,0.73,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,6,mos,1,0.5673419432950375,0.021656384330110023,1.42211967262706,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,6,p_h,1,0.432886472048466,0.016523995662192405,1.0850887638217601,0.39,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,7,t360_mean,1,0.34162888272138403,0.013020705061127305,0.8558278160722625,0.76,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,7,mos,1,0.5667425494364302,0.02160059630503019,1.4197688277866618,0.08,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,7,p_h,1,0.44418540940416307,0.016929503039192738,1.1127461642976995,0.32,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,8,t360_mean,1,0.3503164691103571,0.013294317983999418,0.8741736948798133,0.68,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,8,mos,1,0.5685641781956114,0.021576698915809822,1.4187852763296414,0.09,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,8,p_h,1,0.4710346627213404,0.017875507262351195,1.1754118000026594,0.23,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,9,t360_mean,1,0.34367579614104926,0.013101301815155708,0.8608308434079559,0.68,66,51,multivariate_margin
