scenario_family,scenario,baseline_scenario,alpha_metric,term,estimate_mean,estimate_sd,p_median,p_prop_lt_005,adj_r2_mean,n_iter,n_valid
species_error_strict,species_same_genus_observed_10pct,species_baseline,q0,t360_mean,0.04556907515989738,0.009135024723373127,0.5367355799253212,0,-0.0150957502872066,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q1,mos,0.04359509942658009,0.007566416885586739,0.4269857674639766,0,-0.033863654706193194,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q1,ph,0.01736339864672927,0.007391412708103149,0.7212232975095283,0,-0.033863654706193194,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q1,t360_mean,0.023159186882049244,0.005602985879271399,0.686681533458891,0,-0.033863654706193194,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q2,mos,0.03207448456855569,0.0062507164802638624,0.4976646875533387,0,-0.03705960735211047,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q2,ph,0.0023653562467507183,0.006593779979699104,0.8918820126579794,0,-0.03705960735211047,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q2,t360_mean,0.024846337803651558,0.004922629232630716,0.632421003335785,0,-0.03705960735211047,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,coverage_chao,mos,0.025415175365363394,0.0015549726586935179,0.1810807778782882,0,0.038108306631372414,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,coverage_chao,ph,-0.022985303533404673,0.0019393219663029946,0.25380684817578414,0,0.038108306631372414,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,coverage_chao,t360_mean,0.0386030707084819,0.0018686403621537395,0.05691244386857243,0.2,0.038108306631372414,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q0,mos,0.08666740113862428,0.00645228793126204,0.1666030500293238,0,-0.014172447868000782,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q0,ph,0.015338179257853982,0.008675221875561353,0.8406910405585375,0,-0.014172447868000782,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q0,t360_mean,0.045384043428396637,0.0036593021124216433,0.4923561200259174,0,-0.014172447868000782,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q1,mos,0.04105774445478893,0.0029145734705825974,0.42442471320064384,0,-0.036536886082173384,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q1,ph,0.012949547291872946,0.005888190311112666,0.8467177566654396,0,-0.036536886082173384,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q1,t360_mean,0.017095829871870923,0.0030691795763543297,0.7437903613363289,0,-0.036536886082173384,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q2,mos,0.03353905922271338,0.0027181603353801753,0.4573396425676323,0,-0.03774887677046397,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q2,ph,-2.1651046891763383e-4,0.00464759105836505,0.9572987786318825,0,-0.03774887677046397,10,10
species_error_strict,species_same_genus_observed_3pct,species_baseline,q2,t360_mean,0.019195600959497534,0.0025233188458395053,0.6701665151905852,0,-0.03774887677046397,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,coverage_chao,mos,0.02545261841791018,0.0017174918898142004,0.19142804044164471,0,0.03819504269512427,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,coverage_chao,ph,-0.023514914142964853,0.0014537050062628214,0.24972069302614114,0,0.03819504269512427,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,coverage_chao,t360_mean,0.038657088787794426,0.0022763478278655103,0.05465346337757669,0.3,0.03819504269512427,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q0,mos,0.0846744719085563,0.006462174630835559,0.1917028400612038,0,-0.016919727789615126,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q0,ph,0.0152938668654481,0.005547543263544619,0.8107451052303669,0,-0.016919727789615126,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q0,t360_mean,0.04232608494807371,0.005099723802874283,0.5314677812856886,0,-0.016919727789615126,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q1,mos,0.03925255431698677,0.003986005098409753,0.44633383798585313,0,-0.03760682333316836,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q1,ph,0.01227630728369715,0.00578056270554427,0.8283974790719941,0,-0.03760682333316836,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q1,t360_mean,0.016394088946441957,0.0027509799778357136,0.7678528862316948,0,-0.03760682333316836,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q2,mos,0.03135559626826804,0.003628554539026006,0.49096570826055064,0,-0.038530364161870875,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q2,ph,-0.0019429310545872266,0.006184703864635825,0.9355623966521137,0,-0.038530364161870875,10,10
species_error_strict,species_same_genus_observed_5pct,species_baseline,q2,t360_mean,0.019810324854280508,0.002504658161890829,0.6652469070910574,0,-0.038530364161870875,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,coverage_chao,mos,0.026982831019147557,0.0031614830595236313,0.18796470274799798,0,0.03302724212288664,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,coverage_chao,ph,-0.02280549544058206,0.005106051340053596,0.2720700998618063,0,0.03302724212288664,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,coverage_chao,t360_mean,0.036893018473367324,0.0030548295311581242,0.07252015282491409,0.3,0.03302724212288664,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q0,mos,0.08208365628285892,0.008487399792179235,0.22581441591308177,0,-0.020238842961291657,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q0,ph,0.01493451114533544,0.007023697059541821,0.8394584675100845,0,-0.020238842961291657,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q0,t360_mean,0.04286977394945836,0.006124481251879246,0.5367061654379559,0,-0.020238842961291657,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q1,mos,0.035865272638554456,0.006999058178231973,0.5051122780062101,0,-0.03839015224728035,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q1,ph,0.015260563843463934,0.006947463708080741,0.7669496818837737,0,-0.03839015224728035,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q1,t360_mean,0.01775052619325588,0.008020372255854339,0.727219019300369,0,-0.03839015224728035,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q2,mos,0.02759732329202803,0.005328533740535417,0.562067431854667,0,-0.039527065187791546,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q2,ph,0.002165691447065132,0.00847426555550515,0.9073704208024003,0,-0.039527065187791546,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,q2,t360_mean,0.020719445543391887,0.008231553045053653,0.650815106590952,0,-0.039527065187791546,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,coverage_chao,mos,0.024688771164250674,0.0014337258702182055,0.20808417844318142,0,0.03630958498018657,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,coverage_chao,ph,-0.02358695962524021,0.002768215530699114,0.24368705196378473,0,0.03630958498018657,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,coverage_chao,t360_mean,0.03869872475785317,0.0021676152800221495,0.04900484363981181,0.5,0.03630958498018657,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q0,mos,0.08465097754729009,0.008708560168889377,0.1900743995611388,0,-0.01697400471599584,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q0,ph,0.01591438686094138,0.0041450936491728985,0.809669181039915,0,-0.01697400471599584,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q0,t360_mean,0.039299952077215435,0.006947005073941477,0.5645072210366507,0,-0.01697400471599584,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q1,mos,0.039745344531713966,0.0036090170778359148,0.4464048084956745,0,-0.03771200603275844,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q1,ph,0.013074374628235508,0.003795420804599599,0.7901907852187637,0,-0.03771200603275844,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q1,t360_mean,0.012782861054220104,0.005522589722065607,0.8096133228145392,0,-0.03771200603275844,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q2,mos,0.033551511400693235,0.002453090272712623,0.4621571541156896,0,-0.03795491953158594,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q2,ph,-7.267165019647052e-4,0.004050346505765497,0.9723728373073484,0,-0.03795491953158594,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_3pct,species_baseline,q2,t360_mean,0.01741832579109426,0.004941164421727363,0.6844668934903081,0,-0.03795491953158594,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,coverage_chao,mos,0.025576008481340583,0.001971849658282205,0.20049478080138355,0,0.03991536478375111,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,coverage_chao,ph,-0.023678265530461682,0.0019509835333956743,0.2589596771661691,0,0.03991536478375111,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,coverage_chao,t360_mean,0.039693087510650406,0.002963713118257291,0.04965276354727001,0.5,0.03991536478375111,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q0,mos,0.08368455828458099,0.008658603328718645,0.18312005272843485,0,-0.018520514001920164,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q0,ph,0.017131995444488412,0.007455120747312774,0.7982026261979774,0,-0.018520514001920164,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q0,t360_mean,0.03660657588872078,0.007872794207865233,0.5737263568600655,0,-0.018520514001920164,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q1,mos,0.03590057326123204,0.006808951429267382,0.4631490933941996,0,-0.039616910234480995,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q1,ph,0.010391072930226147,0.005812305493018184,0.8551081655637501,0,-0.039616910234480995,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q1,t360_mean,0.010794110726748225,0.0056330619821443086,0.8724455799718903,0,-0.039616910234480995,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q2,mos,0.028461593146443972,0.006576075644930887,0.5057269431572295,0,-0.04003481434353469,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q2,ph,-0.005201068249300828,0.006084848281754878,0.9179765987498381,0,-0.04003481434353469,10,10
species_error_strict,species_same_genus_observed_rare_weighted_mean_5pct,species_baseline,q2,t360_mean,0.014911835990586373,0.004904935153475125,0.7783322484949414,0,-0.04003481434353469,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,coverage_chao,mos,0.02686675937398955,0.004312802005001684,0.20779613148583315,0,0.019737284456737114,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,coverage_chao,ph,-0.016199092545368558,0.005262884227854604,0.4460977283262873,0,0.019737284456737114,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,coverage_chao,t360_mean,0.03678958679960394,0.004341436603673381,0.07490936725029172,0,0.019737284456737114,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q0,mos,0.10639682458899066,0.013035218110900344,0.13358524586983336,0,-0.004459194051932747,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q0,ph,-0.0010581474598076407,0.010118686393229114,0.9210017297990151,0,-0.004459194051932747,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q0,t360_mean,0.05992838934932294,0.007270164132540021,0.4234564656879999,0,-0.004459194051932747,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q1,mos,0.044829106133171516,0.009246658626259396,0.39248201053430737,0,-0.034423261335867414,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q1,ph,-0.003817670136128375,0.013729942399336071,0.8809774029293223,0,-0.034423261335867414,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q1,t360_mean,0.023522822177938975,0.00864562671011017,0.6683198780937343,0,-0.034423261335867414,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q2,mos,0.027608416016114856,0.008695772837250692,0.52774769505022,0,-0.03757073190530846,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q2,ph,-0.013704635130463943,0.01496988698124624,0.784593842316676,0,-0.03757073190530846,10,10
species_error_strict,species_same_genus_taxref_mainland_10pct,species_baseline,q2,t360_mean,0.0215490939125774,0.009456119928352935,0.6474753980056613,0,-0.03757073190530846,10,10
