varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,metric,n_replicates,relative_delta_med,relative_delta_p10,relative_delta_p90
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,mean_sorensen,5,2.483733341496066,2.1846457644401664,2.6486998727629274
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,alpha_q0,5,107.2639225181598,95.36946471737178,112.34511195782659
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,alpha_q1,5,64.64465350351381,59.92571067877892,70.30096096451359
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,alpha_q2,5,40.63690750164778,37.16919894425082,45.08874296094751
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,gamma,5,163.63636363636363,155.5178155178155,188.14736842105262
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,mean_bray_curtis,5,-0.3089119873170798,-0.3281575237370691,0.30381142132818256
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,mean_jaccard,5,2.986161647425397,2.4126919933439175,3.799358837720649
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,mean_occupancy,5,-23.903100911207027,-28.43468926842452,-18.443730218346865
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,mean_sorensen,5,4.8821136410353425,3.936874128150267,6.249471717435395
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,alpha_q0,5,23.08313155770783,22.70413476723251,25.458067284884955
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,alpha_q1,5,9.83563699561191,9.62142721752107,10.76896634714938
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,alpha_q2,5,5.551095605413488,5.378114127030994,5.988168901699913
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,gamma,5,103.8961038961039,97.94205794205794,123.8736842105263
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,mean_bray_curtis,5,0.2639655796947476,0.1385164607087424,0.33808227888900655
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,mean_jaccard,5,2.8363392941235386,2.7445973972308897,3.4996497848345323
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,mean_occupancy,5,-39.909686478732375,-44.374162971852606,-37.72262787429733
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,mean_sorensen,5,4.631976016944196,4.4573645996531805,5.7018606311764835
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,alpha_q0,5,37.521514629948356,36.103907618282975,39.04571998290841
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_5pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.05,    5%,alpha_q1,5,16.5752882276857,16.285870636611794,17.419808387757474
