varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,n_replicates,alpha_q0_spearman_med,bray_spearman_med,jaccard_spearman_med,sorensen_spearman_med
mean_genera_per_family,Mean genera per family,2,2,workflow_rare_species_to_genus,Rare taxa reported at genus,fixed_workflow,rare_to_genus,fixed_workflow,NA,fixed,5,1,0.9999999999999999,0.9999999999999999,0.9999999999999999
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_10pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.1,   10%,5,0.9031293255958671,0.9770515845373633,0.7241443133521512,0.7241443133521512
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_1pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.01,    1%,5,0.9715235668869843,0.9986084765003059,0.9584572250765184,0.9584572250765184
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_20pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.2,   20%,5,0.8699156621987719,0.9375978846016382,0.6614083707879144,0.6614083707879144
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_3pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.03,    3%,5,0.9453355516020645,0.995340707365817,0.8849330340513519,0.8849330340513519
mean_genera_per_family,Mean genera per family,4,4,id_observed_rare_weighted_5pct,Rare-weighted observed-pool error,identification_error,observed_rare_weighted,identification_error_rate,0.05,    5%,5,0.9216015790718171,0.990363120290378,0.804028900351532,0.804028900351532
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_10pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.1,   10%,5,0.8717710133705056,0.9759388426902458,0.7511431083356852,0.7511431083356852
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_1pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.01,    1%,5,0.9793704637361824,0.9989213109025747,0.9514354461340472,0.9514354461340472
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_20pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.2,   20%,5,0.8461691229126488,0.9402788857922183,0.6830545116991829,0.6830545116991829
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_3pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.03,    3%,5,0.9210135892132086,0.9952208280882366,0.8768001696123857,0.8768001696123857
mean_genera_per_family,Mean genera per family,4,4,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,5,0.9148892781775475,0.9905294731169502,0.8307466331440628,0.8307466331440628
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,5,0.8022771789469538,0.9873397453446383,0.8000876375693963,0.8000876375693963
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,5,0.9406749515277856,0.9990274432953389,0.9766620397226224,0.9766620397226224
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_20pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.2,   20%,5,0.7916386016749873,0.9629376215953637,0.7051733010374478,0.7051733010374478
mean_genera_per_family,Mean genera per family,4,4,id_regional_difficult_bias_3pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.03,    3%,5,0.8641507612568475,0.9968048547700264,0.9259078950943942,0.9259078950943942
